    DATE,State,UnempRate
2010-06-01,Tennessee,9.6
2010-06-01,Texas,8.1
2010-06-01,Utah,7.9
2010-06-01,Vermont,6.3
2010-06-01,Virginia,7.3
2010-06-01,Washington,9.0
2010-06-01,West Virginia,8.4
2010-06-01,Wisconsin,8.4
2010-06-01,Wyoming,6.8
2010-06-01,District of Columbia,9.7
2010-07-01,Alabama,10.1
2010-07-01,Alaska,7.9
2010-07-01,Arizona,10.2
2010-07-01,Arkansas,7.7
2010-07-01,California,12.3
2010-07-01,Colorado,9.1
2010-07-01,Connecticut,9.5
2010-07-01,Delaware,8.6
2010-07-01,Florida,10.8
2010-07-01,Georgia,10.5
2010-07-01,Hawaii,6.8
2010-07-01,Idaho,8.6
2010-07-01,Illinois,10.2
2010-07-01,Indiana,10.0
2010-07-01,Iowa,6.0
2010-07-01,Kansas,6.8
2010-07-01,Kentucky,10.0
2010-07-01,Louisiana,7.6
2010-07-01,Maine,8.3
2010-07-01,Maryland,7.7
2010-07-01,Massachusetts,7.9
2010-07-01,Michigan,12.3
2010-07-01,Minnesota,7.2
2010-07-01,Mississippi,9.8
2010-07-01,Missouri,9.4
2010-07-01,Montana,7.0
2010-07-01,Nebraska,4.6
2010-07-01,Nevada,13.7
2010-07-01,New Hampshire,5.9
2010-07-01,New Jersey,9.5
2010-07-01,New Mexico,7.8
2010-07-01,New York,8.6
2010-07-01,North Carolina,10.4
2010-07-01,North Dakota,3.6
2010-07-01,Ohio,10.0
2010-07-01,Oklahoma,6.4
2010-07-01,Oregon,10.7
2010-07-01,Pennsylvania,8.0
2010-07-01,Rhode Island,11.5
2010-07-01,South Carolina,11.1
2010-07-01,South Dakota,4.6
2010-07-01,Tennessee,9.5
2010-07-01,Texas,8.1
2010-07-01,Utah,7.9
2010-07-01,Vermont,6.2
2010-07-01,Virginia,7.2
2010-07-01,Washington,9.0
2010-07-01,West Virginia,8.4
2010-07-01,Wisconsin,8.3
2010-07-01,Wyoming,6.6
2010-07-01,District of Columbia,9.7
2010-08-01,Alabama,10.0
2010-08-01,Alaska,7.9
2010-08-01,Arizona,10.2
2010-08-01,Arkansas,7.8
2010-08-01,California,12.4
2010-08-01,Colorado,9.2
2010-08-01,Connecticut,9.5
2010-08-01,Delaware,8.5
2010-08-01,Florida,10.8
2010-08-01,Georgia,10.6
2010-08-01,Hawaii,6.8
2010-08-01,Idaho,8.6
2010-08-01,Illinois,10.1
2010-08-01,Indiana,9.9
2010-08-01,Iowa,6.0
2010-08-01,Kansas,6.8
2010-08-01,Kentucky,10.0
2010-08-01,Louisiana,7.7
2010-08-01,Maine,8.3
2010-08-01,Maryland,7.7
2010-08-01,Massachusetts,7.9
2010-08-01,Michigan,12.0
2010-08-01,Minnesota,7.3
2010-08-01,Mississippi,9.8
2010-08-01,Missouri,9.4
2010-08-01,Montana,7.0
2010-08-01,Nebraska,4.6
2010-08-01,Nevada,13.7
2010-08-01,New Hampshire,5.8
2010-08-01,New Jersey,9.5
2010-08-01,New Mexico,7.8
2010-08-01,New York,8.6
2010-08-01,North Carolina,10.4
2010-08-01,North Dakota,3.6
2010-08-01,Ohio,9.9
2010-08-01,Oklahoma,6.3
2010-08-01,Oregon,10.6
2010-08-01,Pennsylvania,8.0
2010-08-01,Rhode Island,11.5
2010-08-01,South Carolina,11.1
2010-08-01,South Dakota,4.7
2010-08-01,Tennessee,9.5
2010-08-01,Texas,8.1
2010-08-01,Utah,7.9
2010-08-01,Vermont,6.1
2010-08-01,Virginia,7.2
2010-08-01,Washington,9.1
2010-08-01,West Virginia,8.6
2010-08-01,Wisconsin,8.2
2010-08-01,Wyoming,6.6
2010-08-01,District of Columbia,9.7
2010-09-01,Alabama,10.1
2010-09-01,Alaska,8.0
2010-09-01,Arizona,10.1
2010-09-01,Arkansas,7.9
2010-09-01,California,12.4
2010-09-01,Colorado,9.3
2010-09-01,Connecticut,9.5
2010-09-01,Delaware,8.5
2010-09-01,Florida,10.8
2010-09-01,Georgia,10.6
2010-09-01,Hawaii,6.8
2010-09-01,Idaho,8.6
2010-09-01,Illinois,10.0
2010-09-01,Indiana,9.8
2010-09-01,Iowa,6.0
2010-09-01,Kansas,6.8
2010-09-01,Kentucky,10.0
2010-09-01,Louisiana,7.8
2010-09-01,Maine,8.3
2010-09-01,Maryland,7.7
2010-09-01,Massachusetts,7.9
2010-09-01,Michigan,11.7
2010-09-01,Minnesota,7.3
2010-09-01,Mississippi,9.8
2010-09-01,Missouri,9.4
2010-09-01,Montana,7.0
2010-09-01,Nebraska,4.6
2010-09-01,Nevada,13.8
2010-09-01,New Hampshire,5.8
2010-09-01,New Jersey,9.5
2010-09-01,New Mexico,7.8
2010-09-01,New York,8.6
2010-09-01,North Carolina,10.4
2010-09-01,North Dakota,3.6
2010-09-01,Ohio,9.9
2010-09-01,Oklahoma,6.3
2010-09-01,Oregon,10.6
2010-09-01,Pennsylvania,8.0
2010-09-01,Rhode Island,11.5
2010-09-01,South Carolina,11.1
2010-09-01,South Dakota,4.3
2010-09-01,Tennessee,9.5
2010-09-01,Texas,8.1
2010-09-01,Utah,7.9
2010-09-01,Vermont,6.1
2010-09-01,Virginia,7.1
2010-09-01,Washington,9.1
2010-09-01,West Virginia,7.9
2010-09-01,Wisconsin,8.2
2010-09-01,Wyoming,6.6
2010-09-01,District of Columbia,9.8
2010-10-01,Alabama,10.1
2010-10-01,Alaska,8.0
2010-10-01,Arizona,10.1
2010-10-01,Arkansas,7.9
2010-10-01,California,12.4
2010-10-01,Colorado,9.4
2010-10-01,Connecticut,9.6
2010-10-01,Delaware,8.5
2010-10-01,Florida,10.8
2010-10-01,Georgia,10.7
2010-10-01,Hawaii,6.8
2010-10-01,Idaho,8.6
2010-10-01,Illinois,9.9
2010-10-01,Indiana,9.7
2010-10-01,Iowa,6.0
2010-10-01,Kansas,6.9
2010-10-01,Kentucky,10.0
2010-10-01,Louisiana,7.8
2010-10-01,Maine,8.3
2010-10-01,Maryland,7.7
2010-10-01,Massachusetts,7.8
2010-10-01,Michigan,11.5
2010-10-01,Minnesota,7.3
2010-10-01,Mississippi,9.8
2010-10-01,Missouri,9.5
2010-10-01,Montana,7.0
2010-10-01,Nebraska,4.6
2010-10-01,Nevada,13.9
2010-10-01,New Hampshire,5.8
2010-10-01,New Jersey,9.5
2010-10-01,New Mexico,7.7
2010-10-01,New York,8.6
2010-10-01,North Carolina,10.4
2010-10-01,North Dakota,3.6
2010-10-01,Ohio,9.8
2010-10-01,Oklahoma,6.3
2010-10-01,Oregon,10.6
2010-10-01,Pennsylvania,8.0
2010-10-01,Rhode Island,11.5
2010-10-01,South Carolina,11.0
2010-10-01,South Dakota,4.3
2010-10-01,Tennessee,9.6
2010-10-01,Texas,8.2
2010-10-01,Utah,7.9
2010-10-01,Vermont,6.1
2010-10-01,Virginia,7.1
2010-10-01,Washington,9.1
2010-10-01,West Virginia,7.8
2010-10-01,Wisconsin,8.1
2010-10-01,Wyoming,6.6
2010-10-01,District of Columbia,9.9
2010-11-01,Alabama,10.2
