State,date,DelinqRate
Delaware,2010-03-01,3.8
Delaware,2010-04-01,3.7
Delaware,2010-05-01,3.7
Delaware,2010-06-01,3.9
Delaware,2010-07-01,4.2
Delaware,2010-08-01,3.9
Delaware,2010-09-01,4.0
Delaware,2010-10-01,4.0
Delaware,2010-11-01,3.8
Delaware,2010-12-01,4.0
Delaware,2011-01-01,4.1
Delaware,2011-02-01,3.9
Delaware,2011-03-01,3.4
Delaware,2011-04-01,3.3
Delaware,2011-05-01,3.5
Delaware,2011-06-01,3.8
Delaware,2011-07-01,3.8
Delaware,2011-08-01,3.8
Delaware,2011-09-01,4.1
Delaware,2011-10-01,3.9
Delaware,2011-11-01,3.9
Delaware,2011-12-01,4.2
Delaware,2012-01-01,4.2
Delaware,2012-02-01,3.7
Delaware,2012-03-01,3.6
Delaware,2012-04-01,3.8
Delaware,2012-05-01,3.9
Delaware,2012-06-01,3.9
Delaware,2012-07-01,3.8
Delaware,2012-08-01,3.9
Delaware,2012-09-01,4.1
Delaware,2012-10-01,4.1
Delaware,2012-11-01,3.6
Delaware,2012-12-01,3.8
Delaware,2013-01-01,4.2
Delaware,2013-02-01,3.8
Delaware,2013-03-01,3.6
Delaware,2013-04-01,3.4
Delaware,2013-05-01,3.3
Delaware,2013-06-01,3.4
Delaware,2013-07-01,3.5
Delaware,2013-08-01,3.6
Delaware,2013-09-01,2.9
Delaware,2013-10-01,3.2
Delaware,2013-11-01,3.0
Delaware,2013-12-01,3.3
Delaware,2014-01-01,3.4
Delaware,2014-02-01,2.9
Delaware,2014-03-01,2.7
Delaware,2014-04-01,2.4
Delaware,2014-05-01,2.8
Delaware,2014-06-01,2.3
Delaware,2014-07-01,2.6
Delaware,2014-08-01,3.0
Delaware,2014-09-01,2.8
